band,fID,obsHistID
r,1427,1660507
r,1309,1662503
u,1427,1664030
u,1546,1664050
g,1427,1665450
g,1419,1665451
g,1427,1665488
g,1309,1666211
r,1427,1668445
r,1309,1669408
i,1419,1669822
i,1309,1669823
i,1331,1669824
r,1427,1670568
r,1445,1670881
z,1566,1671776
z,1445,1671777
y,1427,1672503
y,1427,1672519
y,1331,1672520
y,1427,1674067
y,1546,1674068
y,1309,1674109
i,1331,1676963
i,1309,1676964
i,1427,1677715
i,1546,1677716
r,1427,1678139
r,1331,1678163
r,1427,1678177
r,1419,1678178
r,1309,1678402
u,1427,1681502
u,1309,1681523
u,1419,1681610
g,1445,1683286
z,1331,1686076
i,1427,1686350
i,1427,1686391
z,1427,1687520
z,1427,1687560
r,1427,1687568
i,1309,1688312
i,1419,1688313
z,1427,1689935
z,1419,1689973
z,1427,1689974
z,1309,1689976
z,1419,1690576
z,1445,1690589
z,1419,1690604
z,1309,1690605
y,1419,1691407
y,1331,1691408
y,1427,1693520
y,1419,1694242
y,1331,1694244
z,1331,1694972
z,1427,1694973
z,1331,1695039
z,1427,1695040
i,1427,1695231
i,1419,1695232
i,1427,1695264
i,1309,1695375
i,1309,1695423
r,1427,1695907
r,1331,1696701
r,1331,1696731
u,1546,1700648
u,1445,1701450
u,1427,1701451
r,1427,1702794
r,1427,1702832
r,1546,1702893
g,1427,1704147
g,1309,1704170
g,1427,1704179
r,1445,1705103
z,1546,1705718
r,1309,1707917
i,1427,1708677
i,1427,1708706
y,1445,1713971
y,1427,1714239
y,1445,1714247
y,1309,1714248
i,1427,1714930
i,1309,1714933
i,1419,1716416
g,1445,1718269
g,1331,1718388
g,1427,1718941
g,1427,1718974
g,1419,1718975
r,1309,1719687
r,1427,1719762
r,1419,1719763
r,1427,1719783
r,1419,1719805
u,1331,1723136
u,1309,1723137
u,1427,1723164
g,1309,1725428
r,1427,1727373
r,1427,1727402
y,1427,1727993
i,1427,1728909
z,1427,1729437
z,1427,1729477
i,1427,1730291
i,1419,1730292
i,1427,1730322
i,1309,1730386
y,1309,1734081
y,1445,1734083
y,1331,1734131
y,1427,1737783
y,1419,1737784
r,1419,1737919
g,1445,1739440
g,1309,1740205
g,1309,1740230
r,1445,1743243
z,1546,1743916
r,1427,1743995
r,1419,1744024
r,1427,1744025
r,1331,1744026
z,1309,1744706
u,1419,1746999
u,1427,1747000
r,1309,1749465
r,1309,1749496
z,1427,1750230
z,1331,1750232
z,1427,1750270
z,1445,1750271
z,1331,1750272
z,1309,1750273
i,1546,1751109
i,1309,1751126
i,1427,1751127
i,1419,1751129
i,1419,1751160
i,1445,1751878
y,1427,1754326
y,1427,1755955
z,1427,1762469
z,1445,1762501
z,1427,1762502
r,1419,1764206
r,1427,1764208
g,1427,1766775
g,1331,1766776
z,1445,1767602
z,1331,1767603
z,1309,1767604
z,1427,1767605
z,1427,1767640
y,1427,1774490
y,1546,1774491
y,1309,1774505
y,1427,1774506
y,1445,1852902
y,1309,1869876
y,1427,1869913
r,1309,1876743
r,1331,1876744
r,1427,1876746
r,1419,1876747
i,1427,1877617
i,1427,1877648
g,1427,1878740
g,1331,1878741
g,1309,1878742
r,1445,1879571
r,1546,1879644
r,1309,1879649
u,1331,1882602
u,1427,1882603
u,1445,1882604
u,1309,1882611
g,1331,1885118
